ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
100,12738,91.72,4,2.22,78.5,4,0.91,2.42,7,83.04,0,3375.98,15,3.62,452.88,Non Defect
100,16574,89.86,0,1.92,67.6,17,3.24,5.59,5,99.14,4,4621.59,15,7.6,238.38,Non Defect
100,6389,84.95,0,1.62,63.33,3,4.74,9.03,7,83.11,6,1003.53,30,4.99,450.36,Non Defect
100,19958,96.1,2,2.97,79.53,19,3.45,3.07,5,80.22,9,3205.09,13,7.91,376.35,Non Defect
100,17216,80.75,2,0.84,88.78,7,2.62,9.63,4,88.35,0,3527.28,21,7.86,338.29,Non Defect
100,12778,86.65,4,2.13,85.38,2,3.11,4.25,0,86.06,1,2401.35,23,9.63,290.83,Non Defect
101,11603,93.53,4,4.41,65.86,11,0.98,7.31,9,97.52,5,2803.21,21,6.74,248.14,Non Defect
101,7489,87.42,3,4.04,76.76,16,2.63,6.07,3,91.94,6,3913.24,14,1.82,441.68,Non Defect
101,13200,80.61,4,2.03,89.4,22,3.91,6.1,2,83.8,0,1155.61,14,7.85,240.17,Defect
101,13459,86.59,5,2.19,99.6,3,2.14,4.52,7,93.6,1,1855.93,37,3.2,274.3,Non Defect
101,12589,91.39,3,2.24,72.09,2,3.11,7.36,4,89.42,8,4550.99,22,8.09,211.18,Non Defect
101,16248,85.65,5,4.82,83.88,12,4.44,6.4,4,84.35,3,3843.74,27,5.07,416.05,Defect
102,15573,83.81,0,0.95,95.59,5,4.6,7.03,4,96.46,4,1278.04,34,2.31,161.89,Non Defect
102,16308,95.42,3,2.88,77.17,1,4.63,7.22,2,83.21,8,4088.05,24,1.67,232.15,Non Defect
102,14210,89.68,5,1.46,60.79,21,0.58,4.21,6,84.89,2,4944.27,23,2.74,467.02,Non Defect
102,10940,80.62,1,3.67,77.28,22,0.11,7.7,0,80.72,2,1751.29,46,9.43,177.12,Non Defect
